Shorts;Review Shorts;Shirt;Review Shirt;Socks;Review Socks;Coat;Review Coat;Dress;Review Dress;Boots;Review Boots;Handbag;Review Handbag;Sunglasses;Review Sunglasses;Hat;Review Hat;Belt;Review Belt;Backpack;Review Backpack;Scarf;Review Scarf;Jacket;Review Jacket;Jeans;Review Jeans;Gloves;Review Gloves;Sneakers;Review Sneakers;Sweater;Review Sweater;Pants;Review Pants;T-shirt;Review T-shirt;Jewelry;Review Jewelry;Skirt;Review Skirt;Blouse;Review Blouse;Sandals;Review Sandals;Hoodie;Review Hoodie;Shoes;Review Shoes
1;3.5;0.0;3.7;0.0;3.5;0.0;4.1;0.0;3.3;0.0;3.0;0.0;3.8;0.0;4.3;0.0;3.9;0.0;4.6;0.0;3.5;0.0;4.0;0.0;4.8;0.0;3.1;0.0;4.4;0.0;4.2;0.0;3.0;0.0;4.7;0.0;4.8;0.0;4.4;0.0;4.2;0.0;2.6;0.0;3.4;0.0;3.6;0.0;3.1
1;4.6;0.0;4.8;0.0;4.1;0.0;2.7;0.0;3.3;0.0;4.2;0.0;2.9;0.0;3.7;0.0;4.3;0.0;3.0;0.0;3.4;0.0;2.6;0.0;4.2;0.0;4.9;0.0;4.3;0.0;2.9;0.0;2.6;0.0;4.5;0.0;4.5;0.0;3.0;0.0;4.0;0.0;3.3;0.0;2.7;0.0;4.7;0.0;3.8
1;3.0;0.0;4.1;0.0;2.9;0.0;4.6;0.0;4.1;0.0;4.1;0.0;3.5;0.0;3.3;0.0;4.0;0.0;3.4;0.0;4.7;0.0;4.1;0.0;3.6;0.0;2.5;0.0;4.9;0.0;4.1;0.0;3.0;0.0;3.5;0.0;3.4;0.0;3.0;0.0;3.5;0.0;5.0;0.0;4.9;0.0;4.3;0.0;4.9
1;3.7;0.0;3.4;0.0;4.2;0.0;4.3;0.0;3.2;0.0;2.7;0.0;3.7;0.0;4.4;0.0;3.0;0.0;4.8;0.0;2.8;0.0;2.8;0.0;3.8;0.0;3.1;0.0;2.8;0.0;3.0;0.0;2.8;0.0;4.7;0.0;3.2;0.0;4.2;0.0;3.3;0.0;4.7;0.0;2.7;0.0;4.8;0.0;3.1
1;2.9;0.0;2.9;0.0;2.9;0.0;3.7;0.0;2.9;0.0;4.1;0.0;3.1;0.0;4.0;0.0;4.3;0.0;4.1;0.0;3.0;0.0;2.8;0.0;3.6;0.0;0.0;0.0;3.8;0.0;2.9;0.0;4.3;0.0;3.8;0.0;4.1;0.0;3.2;0.0;4.3;0.0;3.2;0.0;4.0;0.0;2.5;0.0;3.7
1;3.7;0.0;3.7;0.0;4.9;0.0;2.9;0.0;4.3;0.0;4.4;0.0;4.9;0.0;2.7;0.0;4.7;0.0;4.6;0.0;4.2;0.0;3.3;0.0;4.9;0.0;0.0;0.0;4.7;0.0;4.7;0.0;4.9;0.0;2.8;0.0;3.0;0.0;3.2;0.0;4.4;0.0;3.5;0.0;3.2;0.0;2.9;0.0;3.9
1;2.7;0.0;4.6;0.0;4.7;0.0;3.9;0.0;3.7;0.0;0.0;0.0;0.0;0.0;2.7;0.0;4.8;0.0;4.0;0.0;0.0;0.0;2.8;0.0;4.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.9;0.0;3.6;0.0;0.0;0.0;3.9;0.0;3.2;0.0;3.9;0.0;5.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
